"id","no","province","district","village_name","latitude","longitude","area_square_meter","hectares","shape_length","population"
84,18671,"Kandahar","Spin Boldak","Abdul Hakim Kalay","31.093300","66.621700","5644.20076100","564420.07610000","3.50349977",25527
7,4183,"Bamyan","Bamyan","Ab Bala","34.724650","67.734500","1900.36246200","190036.24620000","2.26187725",37039
10,14836,"Hirat","Gulran","Ab Charmi","35.434300","61.384400","6078.11997700","607811.99770000","4.58534401",26852
1491,15395,"Hirat","Obe","Asad","34.107500","63.116700","2634.48798300","263448.79830000","2.76860400",1828
1412,1235,"Badakhshan","Shahada","Arghand","37.051500","71.100140","1521.45044700","152145.04470000","1.85459064",38660
8,1545,"Badakhshan","Wakhan","orup","36.668330","72.033880","10953.27721000","1095327.72100000","10.11086294",14736
4,8403,"Faryab","Gurziwan","Ab Barik","35.579250","65.100450","1875.29643200","187529.64320000","2.34748804",940
11,872,"Badakhshan","Kishim","Ab Chinar","36.883820","70.157230","777.29918900","77729.91890000","1.44383520",28755
12,3964,"Balkh","Sholgara","Ab Dara","36.286760","66.853950","1842.00475500","184200.47550000","2.21813551",23370
13,14833,"Hirat","Gulran","Ab Daraz","35.401900","61.355300","6078.11997700","607811.99770000","4.58534401",9866
14,12706,"Ghor","Saghar","Ab Dokan (Aw Dokan)","33.594490","63.510200","2643.74504000","264374.50400000","3.12402211",21679
2914,8841,"Faryab","Qaysar","Barati (2)","35.705360","64.546620","2502.48809700","250248.80970000","2.87578967",44894
2958,29346,"Uruzgan","Dihrawud","Barghaway","32.329900","65.272900","1644.74035700","164474.03570000","2.34774298",5751
15,20464,"Kunduz","Imam Sahib","Ab Ferosh","37.146900","69.111350","1656.03935300","165603.93530000","2.48541445",49021
3435,30236,"Zabul","Kakar","Belaw Kalay","32.858350","67.294090","1080.88974300","108088.97430000","1.73126371",24562
3664,11231,"Ghazni","Qarabagh","Bolaq Ali","33.305770","67.770550","1570.02690400","157002.69040000","2.02625370",28289
3893,21476,"Logar","Khoshi","Burk","34.081000","69.252490","437.98746270","43798.74627000","0.93685480",10144
16,28333,"Sari Pul","Sari Pul","Ab Firoshi Arab","36.031990","66.067350","2036.97929700","203697.92970000","3.01235334",10368
18,1022,"Badakhshan","Kuf Ab","Ab Gard","38.003300","70.476200","1419.48602700","141948.60270000","1.99394736",48544
4315,9029,"Ghazni","Ajristan","Chakar","33.341340","66.961100","1620.35271700","162035.27170000","2.42986197",4465
19,15391,"Hirat","Koshki Kohna","Ab Guzasht","34.890000","62.470000","1671.25051400","167125.05140000","2.44451067",40315
17,1572,"Badakhshan","Wakhan","Ab Gach","37.003040","72.696380","10953.27721000","1095327.72100000","10.11086294",31191
20,1641,"Badakhshan","Warduj","Ab Jal","36.895860","71.071210","929.45995580","92945.99558000","1.59157371",42348
21,195,"Badakhshan","Baharak","Ab Kharah","36.950370","70.868280","327.97563840","32797.56384000","0.95135073",49217
22,15386,"Hirat","Koshki Kohna","Ab Khuda'i","34.879590","62.742210","1671.25051400","167125.05140000","2.44451067",15109
5503,14483,"Hirat","Adraskan","Dahane Ghulghola","33.669600","63.015510","10070.22117000","1007022.11700000","6.80518196",33536
23,27912,"Samangan","Ruyi Du Ab","Ab Khvorake Bala","35.494590","67.739180","2414.40691800","241440.69180000","2.63205989",3817
24,16077,"Jawzjan","Mangajek","Ab Kolok","37.053690","66.046590","1028.98329700","102898.32970000","1.46639701",13846
25,8101,"Farah","Pur Chaman","Ab Mazar","33.342590","63.762090","6693.60148500","669360.14850000","6.60154343",19038
6287,13647,"Hilmand","Kajaki","Daruzi","32.315720","64.999020","1975.93375400","197593.37540000","2.67956830",20455
27,28571,"Takhar","Baharak","Ab Sarina","36.785760","69.375790","231.10704620","23110.70462000","0.82231262",16256
28,28649,"Takhar","Chah Ab","Ab Shakhak","37.355480","69.933310","763.97271880","76397.27188000","1.32488211",36744
29,2356,"Badghis","Muqur","Ab Shora","35.190700","63.022110","1133.06435400","113306.43540000","2.28109152",25704
30,8173,"Farah","Pusht Rod","Ab Surakh","32.503800","62.059610","407.26376900","40726.37690000","1.03628396",3016
7935,13181,"Ghor","Tulak","Eskawun","33.957100","63.652600","2714.89191900","271489.19190000","2.64495862",13781
31,1847,"Badakhshan","Yawan","Ab Zuruch","37.539600","70.537200","444.07296750","44407.29675000","1.22319252",9610
32,12328,"Ghor","Lal Wa Sarjangal","Abak","34.622910","66.622510","3883.31688000","388331.68800000","3.23005985",38531
33,20572,"Kunduz","Khanabad","Abaka","36.676320","69.067500","1122.47475100","112247.47510000","2.04995798",44050
34,21112,"Laghman","Mihtarlam","Abakhel","34.742790","70.284490","720.11729570","72011.72957000","1.56121571",15706
35,10117,"Ghazni","Jaghuri","Abas","33.330990","67.641210","2136.83386600","213683.38660000","2.49381861",20978
36,29814,"Uruzgan","Tirin Kot","Abas 'ali","32.812500","65.965000","1765.96494000","176596.49400000","2.34130493",22195
37,24902,"Paktika","Barmal","Abas Khan Kalay","32.503790","69.208400","1285.40773800","128540.77380000","1.82346256",45930
38,30889,"Zabul","Shamulzayi","Abas Khel","31.967110","67.588230","2911.66747200","291166.74720000","2.75162063",46506
39,17512,"Kandahar","Kandahar","Abasabad","31.619560","65.722150","777.88488230","77788.48823000","1.24918883",26057
40,875,"Badakhshan","Kishim","Abasen","36.901130","70.066180","777.29918900","77729.91890000","1.44383520",48563
41,20076,"Kunar","Dara-I-Pech","Abat Bande","35.049500","70.951600","560.49548290","56049.54829000","1.14139180",26001
42,21848,"Maydan Wardak","Chaki Wardak","Abash","34.246880","68.609590","1098.16345800","109816.34580000","1.76193871",18667
43,10310,"Ghazni","Malistan","Abay","33.383610","67.491120","1763.78455200","176378.45520000","3.00602641",40169
44,30857,"Zabul","Shamulzayi","Abazey","31.914400","67.738810","2911.66747200","291166.74720000","2.75162063",2665
45,10396,"Ghazni","Muqur","Abbas Kala","32.781280","67.797710","885.00271780","88500.27178000","1.42687677",30327
46,22636,"Maydan Wardak","Markazi Bihsud","Abbas Koshteh","34.330590","67.640390","3349.80881400","334980.88140000","3.55996157",17736
47,24887,"Paktika","Barmal","Abbaskhan Kala","32.469700","69.210000","1285.40773800","128540.77380000","1.82346256",630
48,24931,"Paktika","Barmal","Abbaskhel Janubi","32.671840","69.132920","1285.40773800","128540.77380000","1.82346256",40209
49,25400,"Paktika","Sarobi","Abbaskhel Shamali","32.832160","69.122680","308.41199440","30841.19944000","0.84747263",47918
50,21576,"Logar","Mohammad Agha","Abbazak","34.278480","69.071250","1035.08103300","103508.10330000","1.63297185",40238
51,14043,"Hilmand","Nahri Sarraj","Abbazha-i-Helmand","31.789800","64.563100","1542.71548500","154271.54850000","1.87399996",16470
52,13005,"Ghor","Taywara","Abbedak","33.479990","64.309490","3629.32174300","362932.17430000","3.27919322",744
53,13999,"Hilmand","Nahri Sarraj","Abbazha-i-Nahre Saraj","31.717790","64.599200","1542.71548500","154271.54850000","1.87399996",35677
54,21623,"Logar","Puli Alam","Abchakan","33.894300","69.235690","1132.38620200","113238.62020000","1.99905941",4989
55,25618,"Paktika","Waza Khwa","Abdakay","32.232990","68.242590","1768.63053300","176863.05330000","2.03341565",33551
56,7568,"Farah","Bala Buluk","Abdal Khan Qal'eh","32.666990","62.439600","5450.51970900","545051.97090000","4.51693938",11570
57,8853,"Faryab","Qaysar","Abdal-i-Pasha Khan","35.719090","64.548990","2502.48809700","250248.80970000","2.87578967",12069
58,28529,"Sari Pul","Sozma Qala","Abdan (1)","36.029090","66.132100","521.61784400","52161.78440000","1.31333926",21046
59,28538,"Sari Pul","Sozma Qala","Abdan (2)","36.049790","66.129590","521.61784400","52161.78440000","1.31333926",36155
60,28535,"Sari Pul","Sozma Qala","Abdan (3)","36.040700","66.133800","521.61784400","52161.78440000","1.31333926",25717
61,10251,"Ghazni","Malistan","Abdana","33.311400","67.196990","1763.78455200","176378.45520000","3.00602641",39828
62,10614,"Ghazni","Nawur","Abdara","33.664300","68.007000","5234.49395400","523449.39540000","4.13437227",49134
64,22728,"Maydan Wardak","Markazi Bihsud","Abdarreh","34.397220","67.896190","3349.80881400","334980.88140000","3.55996157",27469
65,1610,"Badakhshan","Warduj","Abdaw","36.621550","71.190290","929.45995580","92945.99558000","1.59157371",7038
66,26825,"Parwan","Chaharikar","Abdibay","35.028190","69.228390","273.86545220","27386.54522000","0.88326454",36042
67,13513,"Hilmand","Garmser","Abdol Habib Kalay","30.723910","64.098970","10344.98330000","1034498.33000000","4.37815374",10979
68,8793,"Faryab","Qaysar","Abdul","35.655290","64.606290","2502.48809700","250248.80970000","2.87578967",46914
71,15080,"Hirat","Injil","Abdul Abad","34.331490","62.249940","190.29691960","19029.69196000","0.58329807",27238
72,2344,"Badghis","Muqur","Abdul Ahad Bay Kamari (1)","35.082990","63.171910","1133.06435400","113306.43540000","2.28109152",12678
73,2340,"Badghis","Muqur","Abdul Ahad Bay Kamari (2)","35.072490","63.149510","1133.06435400","113306.43540000","2.28109152",11141
74,18295,"Kandahar","Shah Wali Kot","'Abdul Ahadkhan Kariz","31.842200","65.851690","3228.84419200","322884.41920000","3.43499212",48261
75,14267,"Hilmand","Nawa-I- Barak Zayi","Abdul Ali Khan Kalay","31.332260","64.269420","2505.24127400","250524.12740000","3.59368072",29872
76,13958,"Hilmand","Nad Ali","Abdul 'alim Kalay","31.703490","64.286390","4563.86395700","456386.39570000","2.83836669",1316
77,24377,"Nimroz","Chakhansur","Abdul Aziz","31.149290","62.087200","9699.89876300","969989.87630000","5.44154943",14626
78,13974,"Hilmand","Nahri Sarraj","Abdul Aziz Kalay","31.682890","64.368190","1542.71548500","154271.54850000","1.87399996",22592
79,18433,"Kandahar","Shah Wali Kot","Abdul Baqi","32.095990","65.859300","3228.84419200","322884.41920000","3.43499212",9796
82,17799,"Kandahar","Maruf","Abdul Baqikhan Kalay","31.476390","67.020000","3190.97530100","319097.53010000","3.44291338",9630
85,1988,"Badghis","Bala Murghab","Abdul Haq (1)","35.431990","63.387310","4491.30951800","449130.95180000","4.10316880",44769
89,25266,"Paktika","Mata Khan","Abdul Kala (2)","33.243600","68.825590","407.36035690","40736.03569000","0.79959326",20737
92,15323,"Hirat","Koshki Kohna","Abdul Karim Khan","34.697370","62.531570","1671.25051400","167125.05140000","2.44451067",16512
96,29238,"Takhar","Yangi Qala","Abdul Nazar Beg","37.473500","69.697580","247.03663530","24703.66353000","0.73774316",12433
100,18277,"Kandahar","Shah Wali Kot","Abdul Samad Kalay","31.795490","65.766190","3228.84419200","322884.41920000","3.43499212",21063
103,24649,"Nimroz","Zaranj","Abdul'azizkhan","30.914500","61.809310","754.75205360","75475.20536000","1.56277465",43689
108,4084,"Balkh","Zari","Abdulgan","35.812550","66.726140","846.40734410","84640.73441000","1.48816850",25637
6,1789,"Badakhshan","Yamgan (Girwan)","Aawij Be","36.525810","70.798950","1779.18089400","177918.08940000","2.22297860",10728
112,19100,"Kapisa","Nijrab","Abdulkhel","34.942990","69.607580","612.24015730","61224.01573000","1.12318118",27382
115,17991,"Kandahar","Maywand","Abdullah Akhundzadah Kariz","31.535300","65.053300","2858.35458400","285835.45840000","2.33120239",4789
116,11413,"Ghazni","Waghaz","Abdullah Kala","33.442390","68.251790","417.07791640","41707.79164000","0.82963588",29387
123,14757,"Hirat","Gulran","Abdullah Khan","34.982690","61.684500","6078.11997700","607811.99770000","4.58534401",36663
124,30106,"Zabul","Daychopan","Abdullah Kalay (1)","32.624390","66.714000","1645.70107900","164570.10790000","2.68813943",26959
133,30556,"Zabul","Qalat","Abdullahkan Kalay","32.220390","67.288790","1828.25815400","182825.81540000","2.06889671",1045
142,23197,"Maydan Wardak","Saydabad","Abdulmohayedin","33.775590","68.507890","1123.81610400","112381.61040000","1.90142804",1412
145,24431,"Nimroz","Chakhansur","Abdulsamadkhan","31.232890","62.173100","9699.89876300","969989.87630000","5.44154943",8873
154,13840,"Hilmand","Musa Qala","Abdur Rahman Karez","32.177390","64.723600","1693.82297700","169382.29770000","2.04508968",23640
155,29863,"Zabul","Arghandab","Abdur Rahman Kor","32.350840","66.664700","1507.17975900","150717.97590000","2.29490105",4502
165,30500,"Zabul","Qalat","'Abdurrahman Kalacha","32.063000","66.833920","1828.25815400","182825.81540000","2.06889671",12314
171,27212,"Parwan","Shinwari","Abdurrahmankhel","35.137490","69.044480","723.05066530","72305.06653000","1.38554439",14266
178,299,"Badakhshan","Darayim","Abe Bala","36.911990","70.483860","569.83883290","56983.88329000","1.27107684",44693
179,2372,"Badghis","Qadis","Abe Barik","34.650200","63.780200","3385.34990100","338534.99010000","3.48240524",5588
185,15774,"Hirat","Shindand","Abestan (1)","33.341820","61.954050","6762.97916800","676297.91680000","5.77895722",48440
187,1344,"Badakhshan","Shahri Buzurg","Abganda","37.497820","70.243480","956.09496390","95609.49639000","1.57525526",35344
197,14788,"Hirat","Gulran","Ab-i-Faydzab","35.113700","61.489910","6078.11997700","607811.99770000","4.58534401",13880
195,15393,"Hirat","Koshki Kohna","Ab-i-Barik-i-Ghalmani","34.914490","62.708400","1671.25051400","167125.05140000","2.44451067",25695
204,14752,"Hirat","Gulran","Ab-i-Sated","34.966000","61.608910","6078.11997700","607811.99770000","4.58534401",18139
205,1514,"Badakhshan","Tashkan","Ab-i-Sher Ahmad","36.833380","70.349760","811.60976830","81160.97683000","1.90770437",35640
213,28095,"Sari Pul","Gosfandi","Abkhor","35.857860","66.564340","1092.14090000","109214.09000000","2.36023849",15697
216,12708,"Ghor","Saghar","Abkhwara","33.597900","63.646890","2643.74504000","264374.50400000","3.12402211",9363
223,7045,"Daykundi","Sangi Takht","Aboli","34.262990","66.070390","1945.53224100","194553.22410000","2.83959268",13953
224,18558,"Kandahar","Shorabak","Abozi (2)","30.129390","65.995690","4033.62620500","403362.62050000","2.83159112",45218
232,2411,"Badghis","Qadis","Abpuda","34.756400","63.687090","3385.34990100","338534.99010000","3.48240524",33014
244,2302,"Badghis","Jawand","Abrejan","35.246490","64.033990","7146.26802700","714626.80270000","4.61455838",29981
248,14572,"Hirat","Chishti Sharif","Abshara","34.559350","64.081200","2575.45684600","257545.68460000","2.99561627",23223
254,17350,"Kandahar","Ghorak","Abulhasan","32.020870","65.041760","1503.59390800","150359.39080000","1.99839776",11266
256,2513,"Badghis","Qala-I- Naw","Abzi Khudai","34.886100","63.065810","760.05249480","76005.24948000","1.51711740",21939
261,20856,"Laghman","Alishing","Acekza'i","34.745800","70.118100","671.90366080","67190.36608000","1.24205012",43629
262,18388,"Kandahar","Shah Wali Kot","Acekzi","32.022390","65.794200","3228.84419200","322884.41920000","3.43499212",36312
267,12069,"Ghor","Lal Wa Sarjangal","Achabazar","34.395290","66.228290","3883.31688000","388331.68800000","3.23005985",20799
268,2000,"Badghis","Bala Murghab","Achakza'i","35.492300","63.387800","4491.30951800","449130.95180000","4.10316880",9527
273,5503,"Bamyan","Waras","Achani","34.290070","66.927220","2969.25806500","296925.80650000","3.02383066",26861
279,23413,"Nangarhar","Acheen","Achin (2)","34.130690","70.694800","451.01565850","45101.56585000","1.02199565",24461
280,9445,"Ghazni","Dih Yak","Ada","33.570300","68.754490","714.71891270","71471.89127000","1.15588701",12856
286,30841,"Zabul","Shamulzayi","Adam Kanda","31.888600","67.855910","2911.66747200","291166.74720000","2.75162063",9838
288,26490,"Paktya","Zurmat","Adam kala","33.549400","68.793690","1421.38646100","142138.64610000","1.84491038",29992
292,27773,"Samangan","Dara-I-Sufi Payin","Adam Tash (2)","36.127160","67.302690","1707.98749800","170798.74980000","2.59041170",44156
295,18504,"Kandahar","Shah Wali Kot","Adamkhan Kalay","32.219590","66.164300","3228.84419200","322884.41920000","3.43499212",40309
296,25228,"Paktika","Jani Khel","Ade Kota","32.688510","68.639410","962.81137560","96281.13756000","1.47485705",1767
305,21343,"Logar","Charkh","Adawar (Bibi Shelger)","33.777290","68.851900","282.64022010","28264.02201000","0.78586605",5055
306,23657,"Nangarhar","Goshta","Ade Saheb","34.407260","70.850640","520.64644790","52064.64479000","1.10491572",33727
309,29526,"Uruzgan","Khas Uruzgan","Adela","33.108700","66.724300","2648.26497100","264826.49710000","3.07560370",1419
313,1943,"Badghis","Ab Kamari","Adi Shana-i-Wazbi","35.039090","63.046300","1817.25136500","181725.13650000","2.26428041",1700
318,29297,"Uruzgan","Chora","Adin Kalay","32.878490","66.055290","3005.99455300","300599.45530000","3.64031944",1274
324,9065,"Ghazni","Ajristan","Adinkhel","33.551680","67.263050","1620.35271700","162035.27170000","2.42986197",8970
327,28170,"Sari Pul","Kohistanat","Adira","35.257080","66.156340","6093.90012200","609390.01220000","4.87065890",48618
334,1826,"Badakhshan","Yawan","Adnyal","37.514400","70.445020","444.07296750","44407.29675000","1.22319252",12457
338,21070,"Laghman","Mihtarlam","Adokhel","34.681290","70.158890","720.11729570","72011.72957000","1.56121571",25771
344,18592,"Kandahar","Spin Boldak","Adozi","30.957200","66.326090","5644.20076100","564420.07610000","3.50349977",33586
349,9673,"Ghazni","Giro","Adreskhel","33.029490","68.285490","866.79378510","86679.37851000","1.51072877",12347
354,19697,"Khost","Spira","Afdzal Kala","33.120200","69.488790","493.63459070","49363.45907000","1.08265351",32812
368,28366,"Sari Pul","Sari Pul","Afridi","36.242400","65.941750","2036.97929700","203697.92970000","3.01235334",45314
